"social","econ","service","immigration","education","destination","candidate","id","age","gender","ideology","likely","interest","aus","can","us"
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",0,1,138,40,"Male",5,7,4,7,7,7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,139,20,"Male",6,7,4,5,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,140,22,"Female",3,4,5,4,5,3
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,141,26,"Male",7,7,7,6,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,142,22,"Female",5,3,7,5,6,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,143,21,"Male",4,3,5,3,7,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,1,144,19,"Male",2,2,5,5,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,145,21,"Male",4,3,6,6,6,4
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,1,146,25,"Female",4,6,7,5,6,7
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,1,147,49,"Female",4,7,7,7,7,2
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,1,148,33,"Female",3,4,5,5,6,3
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,149,51,"Female",7,2,2,7,7,6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,150,30,"Male",5,3,5,5,6,7
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",0,1,151,25,"Female",4,6,5,5,5,4
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,152,47,"Female",8,4,7,6,2,6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",0,1,153,45,"Female",6,7,2,6,6,3
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,1,154,25,"Female",2,2,6,5,6,2
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,155,57,"Male",7,7,1,7,6,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,156,30,"Male",7,4,3,5,7,6
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,157,24,"Female",2,6,7,6,7,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,158,28,"Male",3,5,5,5,6,4
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,1,159,23,"Female",7,6,7,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,160,20,"Male",3,2,5,5,5,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",1,1,161,21,"Female",5,2,3,5,6,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,162,40,"Male",2,3,5,5,6,3
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,1,163,22,"Female",4,7,6,6,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,164,30,"Female",4,4,5,4,4,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,165,35,"Female",2,4,5,5,7,3
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",0,1,166,23,"Female",4,2,7,3,5,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,167,21,"Female",5,7,7,6,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,168,23,"Female",4,6,7,7,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,169,42,"Female",5,6,6,5,6,6
